"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"Globals","0","5594","0","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","8","1","1","14.436334","0","29"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","9","1","1","14.930568","0","35"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","9","1","1","14.500709","0","46"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","13","3","1","18.507778","0","98"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","8","2","1","12.555292","0","41"
"/HairStrands/Materials/HairMeshesDefaultMaterial.HairMeshesDefaultMaterial","0","73","1","1","98.209908","0","2782"
"/HairStrands/Materials/HairCardsDefaultMaterial.HairCardsDefaultMaterial","0","111","1","1","129.948013","0","6177"
"/HairStrands/Materials/HairDefaultMaterial.HairDefaultMaterial","0","73","3","1","93.107941","0","2762"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","13","1","1","16.897680","0","103"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","33","1","1","46.958504","0","450"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","19","3","1","30.882902","0","185"
"/Engine/VREditor/TransformGizmo/Main.Main","0","13","1","1","21.619043","0","57"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","13","1","1","21.903013","0","56"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","47","19","1","45.254055","0","235"
"/Game/StarterContent/Props/Materials/M_MaterialSphere_Plain.M_MaterialSphere_Plain","0","19","1","1","25.187752","0","208"
"/Game/StarterContent/Props/Materials/M_MaterialSphere.M_MaterialSphere","0","19","1","1","27.668806","0","168"
"/Game/StarterContent/Particles/Materials/m_flare_01.m_flare_01","0","40","1","1","36.000042","0","859"
"/Game/StarterContent/Materials/M_Glass.M_Glass","0","45","1","1","177.380783","0","941"
"/Game/StarterContent/Materials/M_Basic_Wall.M_Basic_Wall","0","31","1","1","85.191605","0","526"
"/Game/StarterContent/Materials/M_Basic_Floor.M_Basic_Floor","0","31","1","1","54.404266","0","526"
"/Game/StarterContent/Materials/M_AssetPlatform.M_AssetPlatform","0","31","1","1","51.191902","0","509"
"/Game/StarterContent/Blueprints/Assets/M_LightStage_Arrows.M_LightStage_Arrows","0","8","1","1","10.967025","0","43"
"/Game/LevelPrototyping/Materials/M_Solid.M_Solid","0","52","1","1","76.823135","0","1382"
"/Engine/EditorMeshes/ColorCalibrator/M_ChromeBall.M_ChromeBall","0","64","1","1","98.586937","0","1969"
"/Engine/EditorMeshes/ColorCalibrator/M_ClearCoat.M_ClearCoat","0","31","1","1","50.721870","0","437"
"/Engine/EditorMeshes/ColorCalibrator/M_ClearCoatBlack.M_ClearCoatBlack","0","31","1","1","52.295269","0","377"
"/Engine/EditorMeshes/ColorCalibrator/M_GreyBall.M_GreyBall","0","31","1","1","50.138706","0","464"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","0","93","1","1","179.246597","0","1630"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","0","93","1","1","178.673004","0","1520"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","0","93","1","1","183.738205","0","1828"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","38","3","1","63.401333","0","452"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","13","6","1","22.510578","0","59"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","0","10","1","1","22.777086","0","26"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","90","3","2","131.294281","0","1352"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","0","16","8","1","28.292667","0","105"
"/ControlRig/M_Manip.M_Manip","0","16","1","1","21.655678","0","123"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","8","1","1","11.791400","0","28"
"/Engine/EditorMaterials/WorldPartition/WorldPartitionSpatialHashGridPreviewMaterial.WorldPartitionSpatialHashGridPreviewMaterial","0","10","1","1","13.187852","0","56"
"/HairStrands/Materials/HairDebugMaterial.HairDebugMaterial","0","111","1","1","135.339508","0","2675"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","61","1","1","521.124939","0","736"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","22","1","1","26.874710","0","193"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","141","1","1","201.402893","0","3111"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","0","225","7","1","340.387787","0","8369"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","1374","3","1","2005.641113","0","154163"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","34","1","1","48.319141","0","354"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","85","6","6","113.648224","0","673"
"/Game/StarterContent/Particles/Materials/M_Heat_Distortion.M_Heat_Distortion","0","37","5","1","33.883213","0","354"
"/Game/StarterContent/Props/Materials/M_TableRound.M_TableRound","0","31","1","1","52.447540","0","330"
"/Game/StarterContent/Props/Materials/M_StatueGlass.M_StatueGlass","0","45","1","1","183.857864","0","444"
"/Game/StarterContent/Props/Materials/M_Statue.M_Statue","0","31","1","1","51.382706","0","354"
"/Game/StarterContent/Particles/Materials/M_Spark.M_Spark","0","31","1","1","28.880764","0","279"
"/Game/StarterContent/Particles/Materials/M_smoke_subUV.M_smoke_subUV","0","77","1","1","97.689072","0","1448"
"/Game/StarterContent/Props/Materials/M_Shelf.M_Shelf","0","31","1","1","52.126251","0","283"
"/Game/StarterContent/Materials/M_Wood_Floor_Walnut_Polished.M_Wood_Floor_Walnut_Polished","0","31","2","1","55.481842","0","406"
"/Game/StarterContent/Materials/M_Water_Lake.M_Water_Lake","0","31","1","1","53.745594","0","378"
"/Game/StarterContent/Materials/M_Rock_Marble_Polished.M_Rock_Marble_Polished","0","31","1","1","52.141071","0","328"
"/Game/StarterContent/Materials/M_Wood_Walnut.M_Wood_Walnut","0","31","1","1","50.255482","0","436"
"/Game/StarterContent/Materials/M_Wood_Pine.M_Wood_Pine","0","31","1","1","52.560272","0","356"
"/Game/StarterContent/Materials/M_Wood_Oak.M_Wood_Oak","0","31","3","1","52.363667","0","337"
"/Game/StarterContent/Materials/M_Tech_Panel.M_Tech_Panel","0","31","1","1","52.723358","0","240"
"/Game/StarterContent/Materials/M_Tech_Hex_Tile_Pulse.M_Tech_Hex_Tile_Pulse","0","31","1","1","52.116390","0","293"
"/Game/StarterContent/Materials/M_Rock_Slate.M_Rock_Slate","0","31","1","1","52.012947","0","179"
"/Game/StarterContent/Materials/M_Rock_Sandstone.M_Rock_Sandstone","0","31","1","1","51.697746","0","358"
"/Game/StarterContent/Materials/M_Rock_Basalt.M_Rock_Basalt","0","31","1","1","51.827728","0","321"
"/Game/StarterContent/Materials/M_Metal_Steel.M_Metal_Steel","0","31","1","1","50.395428","0","303"
"/Game/StarterContent/Materials/M_Metal_Gold.M_Metal_Gold","0","31","1","1","52.184868","0","425"
"/Game/StarterContent/Materials/M_Metal_Copper.M_Metal_Copper","0","31","1","1","50.236427","0","311"
"/Game/StarterContent/Materials/M_Metal_Chrome.M_Metal_Chrome","0","31","1","1","50.999062","0","344"
"/Game/StarterContent/Materials/M_Metal_Burnished_Steel.M_Metal_Burnished_Steel","0","31","1","1","50.841061","0","347"
"/Game/StarterContent/Materials/M_Metal_Brushed_Nickel.M_Metal_Brushed_Nickel","0","31","1","1","49.006004","0","350"
"/Game/StarterContent/Props/Materials/M_Lamp.M_Lamp","0","31","1","1","49.429482","0","338"
"/Game/StarterContent/Materials/M_Ground_Moss.M_Ground_Moss","0","31","1","1","49.013741","0","215"
"/Game/StarterContent/Materials/M_Ground_Gravel.M_Ground_Gravel","0","31","1","1","49.984379","0","262"
"/Game/StarterContent/Materials/M_Ground_Grass.M_Ground_Grass","0","31","1","1","50.586163","0","308"
"/Game/StarterContent/Props/Materials/M_Frame.M_Frame","0","31","1","1","51.543705","0","340"
"/Game/StarterContent/Particles/Materials/M_Fire_SubUV.M_Fire_SubUV","0","31","1","1","31.657997","0","257"
"/Game/StarterContent/Particles/Materials/M_explosion_subUV.M_explosion_subUV","0","31","1","1","29.162500","0","324"
